         64022 function calls (56822 primitive calls) in 0.706 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       81    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      187    0.000    0.000    0.000    0.000 threading.py:1031(name)
      187    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      749    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      124    0.000    0.000    0.000    0.000 Character.py:19(__repr__)
      561    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      187    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      187    0.000    0.000    0.000    0.000 {built-in method time.time}
       49    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       33    0.000    0.000    0.000    0.000 Player.py:79(<listcomp>)
      456    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      374    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       49    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
      147    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        4    0.000    0.000    0.002    0.000 Game.py:147(fantom_scream)
       31    0.000    0.000    0.000    0.000 Player.py:87(<listcomp>)
        4    0.000    0.000    0.692    0.173 Game.py:120(actions)
       49    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       84    0.000    0.000    0.000    0.000 Game.py:221(<listcomp>)
       20    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
        4    0.000    0.000    0.704    0.176 Game.py:167(tour)
       49    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       12    0.000    0.000    0.000    0.000 Game.py:204(__repr__)
      187    0.000    0.000    0.000    0.000 codecs.py:214(setstate)
       33    0.000    0.000    0.000    0.000 Player.py:74(get_adjacent_positions)
       12    0.000    0.000    0.000    0.000 Game.py:209(<listcomp>)
       40    0.000    0.000    0.000    0.000 Game.py:149(<setcomp>)
       20    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
       41    0.000    0.000    0.000    0.000 random.py:250(_randbelow_with_getrandbits)
        1    0.000    0.000    0.001    0.001 Game.py:29(__init__)
       31    0.000    0.000    0.000    0.000 Player.py:82(get_adjacent_positions_from_position)
        4    0.000    0.000    0.000    0.000 random.py:293(shuffle)
        1    0.000    0.000    0.705    0.705 Game.py:180(lancer)
       16    0.000    0.000    0.000    0.000 Player.py:332(<listcomp>)
        4    0.000    0.000    0.000    0.000 Game.py:148(<listcomp>)
      136    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       16    0.000    0.000    0.000    0.000 Player.py:49(<listcomp>)
       98    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f04371a6f70}
       11    0.000    0.000    0.000    0.000 random.py:285(choice)
       73    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       13    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 socket.py:492(_real_close)
        2    0.000    0.000    0.000    0.000 Player.py:250(<listcomp>)
        4    0.000    0.000    0.000    0.000 Game.py:165(<listcomp>)
       41    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 Game.py:37(<setcomp>)
        2    0.000    0.000    0.000    0.000 Player.py:218(<listcomp>)
        5    0.000    0.000    0.000    0.000 Game.py:187(<listcomp>)
        8    0.000    0.000    0.000    0.000 Character.py:13(__init__)
        1    0.000    0.000    0.000    0.000 Player.py:180(<listcomp>)
        1    0.000    0.000    0.000    0.000 socket.py:496(close)
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 Game.py:99(<listcomp>)
        1    0.000    0.000    0.000    0.000 Game.py:103(<listcomp>)
        2    0.000    0.000    0.000    0.000 Player.py:278(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 Player.py:184(<listcomp>)
        2    0.000    0.000    0.000    0.000 Player.py:223(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1663(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 Game.py:105(<listcomp>)


